"last_name, first_name",player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,maxeff_arm_2b_3b_sba,n_outs_above_average,sprint_speed
"Pujols, Albert",405395,2022,42,307,351,83,45,14,0,24,55,28,15.7,8,0.27,0.55,0.345,0.895,0.38,0.365,34.5,12,47.3,102.064436899,95.425491822,21.3,48.2,,,22.7
"Freeman, Freddie",518692,2022,32,612,708,199,129,47,2,21,102,84,14.4,11.9,0.325,0.511,0.407,0.918,0.393,0.403,42.9,9.9,47.8,100.761588016,95.094269494,19.5,49.3,,,26.9
"Toro, Abraham",647351,2022,25,324,352,60,36,13,1,10,65,22,18.5,6.3,0.185,0.324,0.239,0.563,0.246,0.284,31.2,6.8,29.7,97.172547348,92.624451255,21.6,47.3,,,28
"Torkelson, Spencer",679529,2022,22,360,404,73,48,16,1,8,99,37,24.5,9.2,0.203,0.319,0.285,0.604,0.272,0.302,35.4,8.4,41.8,100.743731756,94.657766412,25.6,45.9,,,27.8
"Stallings, Jacob",607732,2022,32,346,384,77,61,12,0,4,83,29,21.6,7.6,0.223,0.292,0.292,0.584,0.265,0.274,33.5,3.4,32.3,96.725527727,92.385356023,22.7,43.7,82,,23.7
"Paredes, Isaac",670623,2022,23,331,381,68,32,16,0,20,67,44,17.6,11.5,0.205,0.435,0.304,0.739,0.323,0.297,27.4,6.4,38.7,98.355538496,93.255665472,16.5,39.8,,,26.2
"Margot, Manuel",622534,2022,27,336,363,92,68,18,2,4,68,24,18.7,6.6,0.274,0.375,0.325,0.7,0.308,0.299,30.9,3.7,37.9,99.958428538,94.191039654,24.7,52.7,,0,27.9
"Turner, Trea",607208,2022,29,652,708,194,130,39,4,21,131,45,18.5,6.4,0.298,0.466,0.343,0.809,0.35,0.335,35.3,7.6,41.6,100.188198893,94.238854962,26.3,51.2,,,30.3
"Díaz, Elias",553869,2022,31,351,381,80,51,18,2,9,82,25,21.5,6.6,0.228,0.368,0.281,0.649,0.284,0.274,28.3,5.9,39.3,100.058292985,94.204058315,22.7,51.8,84.8,,26.1
"Vogelbach, Daniel",596129,2022,29,386,461,92,54,19,1,18,114,73,24.7,15.8,0.238,0.433,0.36,0.793,0.349,0.35,38.1,10.6,39.9,99.817658603,94.085066691,20.4,32.2,,,24
"Taylor, Tyrone",621438,2022,28,373,405,87,46,21,3,17,102,22,25.2,5.4,0.233,0.442,0.286,0.728,0.314,0.307,34.7,9.9,37.6,99.154219632,93.742033346,26.5,50.9,,7,28.4
"Robles, Victor",645302,2022,25,366,407,82,64,10,2,6,104,17,25.6,4.2,0.224,0.311,0.273,0.584,0.26,0.244,29.2,3.2,23.8,96.221152581,92.171514939,27.2,53.8,,6,28.8
"Anderson, Tim",641313,2022,29,332,351,100,81,13,0,6,55,14,15.7,4,0.301,0.395,0.339,0.734,0.323,0.336,37.5,5.8,41.2,98.957560507,93.5528044,23.2,57.9,,,28.4
"Hicks, Aaron",543305,2022,32,384,453,83,64,9,2,8,109,62,24.1,13.7,0.216,0.313,0.33,0.643,0.292,0.303,25.2,5.8,33.1,98.078223577,93.127214322,25.8,41.1,,0,27.9
"Chavis, Michael",656308,2022,26,401,426,92,59,16,3,14,126,19,29.6,4.5,0.229,0.389,0.265,0.654,0.282,0.261,33,7.5,38.7,99.520768345,93.803336787,30.8,57.7,,,28.8
"Upton, Justin",457708,2022,34,48,57,6,4,1,0,1,23,6,40.4,10.5,0.125,0.208,0.263,0.471,0.231,0.249,36,4,32,99.128878333,93.64988375,37.5,45.4,,,27.2
"García, Luis",671277,2022,22,360,377,99,67,23,2,7,84,11,22.3,2.9,0.275,0.408,0.295,0.703,0.303,0.305,37.4,7.5,36.7,98.963627429,93.569820789,27,53.5,,,27
"Polanco, Jorge",593871,2022,28,375,445,88,56,16,0,16,95,64,21.3,14.4,0.235,0.405,0.346,0.751,0.333,0.358,37.7,10.2,38.7,99.924839571,94.156301183,25.6,42.4,,,28.1
"Walsh, Jared",665120,2022,28,423,454,91,56,18,2,15,138,27,30.4,5.9,0.215,0.374,0.269,0.643,0.278,0.28,34,9.5,42.5,100.931193759,94.894355638,27.6,49.1,,,25.9
"Moncada, Yoán",660162,2022,27,397,433,84,53,18,1,12,114,32,26.3,7.4,0.212,0.353,0.273,0.626,0.275,0.289,35.1,9.8,37.5,99.519949858,93.912687082,27.8,47.1,,,27.4
"Franco, Wander",677551,2022,21,314,344,87,58,20,3,6,33,26,9.6,7.6,0.277,0.417,0.328,0.745,0.323,0.331,35.1,4.6,35.8,98.428767413,93.287600772,13.3,51.3,,,27.8
"Castro, Willi",650489,2022,25,365,392,88,60,18,2,8,82,15,20.9,3.8,0.241,0.367,0.284,0.651,0.285,0.286,35.5,3.5,31.4,97.165751549,92.663004452,28.4,58.2,,0,28.3
"Wallner, Matt",670242,2022,24,57,65,13,8,3,0,2,25,6,38.5,9.2,0.228,0.386,0.323,0.709,0.311,0.245,21.9,9.4,53.1,102.52181,95.903495313,38.1,44,,-1,28.3
"Sánchez, Gary",596142,2022,29,419,471,86,46,24,0,16,136,40,28.9,8.5,0.205,0.377,0.282,0.659,0.29,0.321,29.2,13.5,49.3,103.200555347,96.181078537,30.8,44,86.3,,25.2
"Hager, Jake",606993,2022,29,50,59,12,10,2,0,0,17,8,28.8,13.6,0.24,0.28,0.345,0.625,0.291,0.247,32.4,5.9,17.6,94.036659333,91.089237667,29.5,46.9,,,27.1
"MacKinnon, David",676950,2022,27,50,57,7,7,0,0,0,17,6,29.8,10.5,0.14,0.14,0.228,0.368,0.181,0.259,26.5,2.9,20.6,95.337789412,91.668894706,24.1,44.4,,,26.7
"Wong, Connor",657136,2022,26,48,56,9,5,3,0,1,16,5,28.6,8.9,0.188,0.313,0.273,0.586,0.263,0.277,20.6,11.8,32.4,99.758804706,94.271729091,30.6,48.9,85.7,,28.9
"Pérez, Roberto",547379,2022,33,60,69,14,10,2,0,2,25,9,36.2,13,0.233,0.367,0.333,0.7,0.315,0.308,42.9,11.4,51.4,101.789615556,95.453621714,36.6,39.9,78.5,,25.2
"Vargas, Miguel",678246,2022,22,47,50,8,6,1,0,1,13,2,26,4,0.17,0.255,0.2,0.455,0.2,0.255,25.7,8.6,40,98.538499444,93.609804857,24.3,51,,,29.3
"Walls, Taylor",670764,2022,25,407,466,70,42,18,2,8,120,52,25.8,11.2,0.172,0.285,0.268,0.553,0.252,0.268,32.6,6.2,28.5,96.121545455,92.072558077,25.4,43,,,28.8
"Semien, Marcus",543760,2022,31,657,724,163,101,31,5,26,120,53,16.6,7.3,0.248,0.429,0.304,0.733,0.317,0.306,32.4,6.8,34.9,97.838624343,93.00847117,20.6,47.2,,,28.8
"Sanó, Miguel",593934,2022,29,60,71,5,4,0,0,1,25,9,35.2,12.7,0.083,0.133,0.211,0.344,0.176,0.302,30.6,13.9,52.8,102.693380556,96.171660278,37.2,39.6,,,26.7
"India, Jonathan",663697,2022,25,386,431,96,68,16,2,10,94,31,21.8,7.2,0.249,0.378,0.327,0.705,0.314,0.301,36,4.8,28.8,97.40599669,92.71951917,23.6,41.3,,,27.7
"Rojas, Jose",670351,2022,29,56,57,7,5,2,0,0,19,0,33.3,0,0.125,0.161,0.14,0.301,0.134,0.182,21.6,2.7,32.4,96.317041667,92.241079444,26,57.5,,,26.4
"Lewis, Kyle",641786,2022,26,56,62,8,5,0,0,3,19,5,30.6,8.1,0.143,0.304,0.226,0.53,0.239,0.3,24.3,10.8,32.4,99.820208889,93.910104444,39.2,47.5,,,24.1
"Ahmed, Nick",605113,2022,32,52,54,12,7,2,0,3,15,2,27.8,3.7,0.231,0.442,0.259,0.701,0.302,0.227,32.4,5.4,32.4,96.865202778,92.508848611,24.1,51.2,,,27.9
"Contreras, Mark",676628,2022,27,58,61,7,3,1,0,3,21,1,34.4,1.6,0.121,0.293,0.148,0.441,0.189,0.304,28.9,31.6,57.9,104.284496316,97.133628947,31.9,62.7,,3,28.4
"Tucker, Cole",657061,2022,25,63,63,11,9,1,1,0,25,0,39.7,0,0.175,0.222,0.175,0.397,0.172,0.198,39.5,7.9,23.7,94.314187368,91.434396579,28.1,46,,-1,27.7
"Raley, Luke",670042,2022,27,61,72,12,9,2,0,1,24,7,33.3,9.7,0.197,0.279,0.306,0.585,0.271,0.286,31.6,13.2,39.5,100.628204737,94.641931351,39.9,50.7,,1,29.3
"Sheets, Gavin",657757,2022,26,377,410,91,57,19,0,15,86,27,21,6.6,0.241,0.411,0.295,0.706,0.308,0.283,32.3,6.5,36.1,98.93534363,93.559241787,21.9,47.7,,-5,26.6
"Burleson, Alec",676475,2022,23,48,53,9,7,1,0,1,9,5,17,9.4,0.188,0.271,0.264,0.535,0.245,0.325,35.9,10.3,48.7,100.518393158,95.136274211,24.7,51.1,,,25.3
"Peraza, Oswald",672724,2022,22,49,57,15,11,3,0,1,9,6,15.8,10.5,0.306,0.429,0.404,0.833,0.371,0.343,25,5,30,95.3083725,92.10581375,17.7,49.4,,,28.9
"Park, Hoy",660829,2022,26,51,60,11,7,2,0,2,15,4,25,6.7,0.216,0.373,0.276,0.649,0.282,0.269,20,10,25,96.311552105,92.268094324,20.7,38.8,,,27.4
"Segura, Jean",516416,2022,32,354,387,98,79,9,0,10,58,25,15,6.5,0.277,0.387,0.336,0.723,0.32,0.303,28.3,4.4,38.4,99.507672313,93.804578639,18.5,48.8,,,27.7
"Nola, Austin",543592,2022,32,347,397,87,68,15,0,4,60,34,15.1,8.6,0.251,0.329,0.321,0.65,0.29,0.305,35.4,2.4,39.7,98.960360608,93.682414983,14.4,42.8,81.4,,26.4
"Diaz, Jordan",672478,2022,21,49,51,13,10,3,0,0,7,2,13.7,3.9,0.265,0.327,0.294,0.621,0.275,0.229,26.2,0,31,96.129837619,92.068414524,20.4,63.6,,,26.1
"Robinson, Chuckie",642020,2022,27,59,60,8,4,2,0,2,17,0,28.3,0,0.136,0.271,0.136,0.407,0.173,0.255,23.3,9.3,30.2,97.52340381,92.76556,25.4,59.5,86.3,,26.5
"Cameron, Daz",663662,2022,25,64,70,14,9,3,1,1,20,5,28.6,7.1,0.219,0.344,0.286,0.63,0.28,0.303,43.2,9.1,43.2,100.319888182,94.301869318,30.7,47.7,,-1,28.6
"Heredia, Guillermo",628338,2022,31,76,82,12,5,3,1,3,32,6,39,7.3,0.158,0.342,0.22,0.562,0.246,0.228,38.6,11.4,31.8,97.683478636,92.851456136,35.8,54.8,,0,28
"Capel, Conner",668843,2022,25,52,59,16,12,0,1,3,10,5,16.9,8.5,0.308,0.519,0.356,0.875,0.371,0.336,34.1,6.8,31.8,97.990665455,93.173799773,24.8,45,,1,27.4
"Calhoun, Willie",641432,2022,27,52,62,7,3,3,0,1,8,9,12.9,14.5,0.135,0.25,0.274,0.524,0.249,0.309,22.7,2.3,38.6,99.757001364,94.052842093,14,36.9,,,25.8
"Soto, Livan",670869,2022,22,55,59,22,15,5,1,1,13,2,22,3.4,0.4,0.582,0.414,0.996,0.424,0.281,40.9,0,15.9,92.851194286,90.623598049,16.8,50.7,,,27.5
"Cooper, Garrett",643265,2022,31,414,469,108,64,33,2,9,119,40,25.4,8.5,0.261,0.415,0.337,0.752,0.33,0.341,39,10.7,43.7,101.295185,94.99247689,25.1,45.2,,,26.3
"Lagares, Juan",501571,2022,33,60,62,11,8,2,1,0,15,2,24.2,3.2,0.183,0.25,0.21,0.46,0.203,0.242,40,2.2,40,98.693379565,93.50569,27.6,52.7,,0,27.5
"Pinto, René",650907,2022,25,80,83,17,12,3,0,2,35,2,42.2,2.4,0.212,0.325,0.241,0.566,0.249,0.219,20,4.4,42.2,100.210100435,94.321997111,36.8,56,83.4,,26.8
"Jankowski, Travis",608671,2022,31,55,64,9,9,0,0,0,10,8,15.6,12.5,0.164,0.164,0.281,0.445,0.222,0.259,22.2,0,22.2,92.702330952,90.908144524,9.9,39.1,,2,29.1
"Thaiss, Matt",642136,2022,27,69,81,15,12,1,0,2,24,11,29.6,13.6,0.217,0.319,0.321,0.64,0.286,0.289,21.7,6.5,37,98.469698696,93.243073043,34.2,46.9,83.9,,24.5
"Encarnacion, Jerar",666464,2022,24,77,81,14,8,3,0,3,32,3,39.5,3.7,0.182,0.338,0.21,0.548,0.236,0.228,30.4,6.5,41.3,100.049450435,94.552698043,42.7,54.6,,0,27.7
"Groshans, Jordan",677954,2022,22,61,65,16,15,0,0,1,13,4,20,6.2,0.262,0.311,0.308,0.619,0.278,0.263,37.5,2.1,37.5,98.61393375,93.529322917,17.9,44.5,,,26.5
"Gosselin, Phil",594838,2022,33,74,77,11,10,0,1,0,24,2,31.2,2.6,0.149,0.176,0.182,0.358,0.163,0.207,30,2,36,96.7428284,92.3714142,27.1,46.5,,,29
"Garrett, Stone",656448,2022,26,76,84,21,9,8,0,4,27,3,32.1,3.6,0.276,0.539,0.309,0.848,0.36,0.268,28,10,52,101.2777156,95.5788512,35,56.7,,,28.6
"Stefanic, Michael",683021,2022,26,61,69,12,10,2,0,0,12,5,17.4,7.2,0.197,0.23,0.279,0.509,0.239,0.266,28,2,22,93.49606,90.955379592,19.2,41.4,,,26.4
"d'Arnaud, Travis",518595,2022,33,396,426,106,62,25,1,18,90,19,21.1,4.5,0.268,0.472,0.319,0.791,0.343,0.313,35,8.5,38.9,99.567378882,93.920566898,26.9,52.8,82.2,,26.1
"Harris II, Michael",671739,2022,21,414,441,123,74,27,3,19,107,21,24.3,4.8,0.297,0.514,0.339,0.853,0.368,0.335,32.8,10.1,45.1,102.581692941,95.614748459,28.1,52.4,,7,29.4
"Casas, Triston",671213,2022,22,76,95,15,9,1,0,5,23,19,24.2,20,0.197,0.408,0.358,0.766,0.344,0.325,28.3,7.5,41.5,99.403010741,93.836791698,26.3,37.9,,,24.9
"Gordon, Nick",624503,2022,26,405,443,110,69,28,4,9,105,19,23.7,4.3,0.272,0.427,0.316,0.743,0.321,0.333,36.6,9.4,44.7,99.949105229,94.408223268,27.8,59.4,,0,27.8
"Kreidler, Ryan",668952,2022,24,73,84,13,11,1,0,1,22,6,26.2,7.1,0.178,0.233,0.244,0.477,0.218,0.273,34.5,7.3,32.7,96.201781111,92.261975094,27.6,49.2,,,28.2
"Urías, Luis",649966,2022,25,406,472,97,63,17,1,16,99,50,21,10.6,0.239,0.404,0.335,0.739,0.327,0.326,34.3,8.3,35.3,97.964867677,93.080449903,22.2,43.2,,,26.4
"Thomas, Alek",677950,2022,22,381,411,88,62,17,1,8,74,22,18,5.4,0.231,0.344,0.275,0.619,0.272,0.277,27.9,3.8,34.6,98.660118182,93.330771656,25,49.2,,7,29.3
"Collins, Zack",641470,2022,27,97,108,15,7,4,0,4,41,9,38,8.3,0.155,0.32,0.231,0.551,0.245,0.257,35.1,8.8,40.4,99.471708621,94.050769123,36.5,41.3,78.4,,24.6
"Demeritte, Travis",641513,2022,27,89,96,19,14,2,0,3,32,6,33.3,6.3,0.213,0.337,0.26,0.597,0.263,0.263,34.5,6.9,37.9,100.223234828,94.186779655,38.2,43.3,,-2,28.2
"Lamb, Jake",571875,2022,31,97,111,21,11,6,1,3,38,11,34.2,9.9,0.216,0.392,0.315,0.707,0.314,0.314,35.6,11.9,44.1,100.710084667,94.859118475,31.1,43.3,,-2,26.1
"Jung, Josh",673962,2022,24,98,102,20,10,4,1,5,39,4,38.2,3.9,0.204,0.418,0.235,0.653,0.28,0.287,40.7,10.2,32.2,98.305209333,93.279324746,30.8,47,,,27
"Contreras, Willson",575929,2022,30,416,487,101,54,23,2,22,103,45,21.1,9.2,0.243,0.466,0.349,0.815,0.357,0.364,30.2,10.5,48.6,103.238284065,96.034015696,30.9,50.6,86,,27.5
"Rutschman, Adley",668939,2022,24,398,470,101,52,35,1,13,86,65,18.3,13.8,0.254,0.445,0.362,0.807,0.354,0.342,35.6,7.9,36.8,99.028130823,93.60531527,17.9,40.5,86.3,,27.1
"Moreno, Gabriel",672515,2022,22,69,73,22,20,1,0,1,8,4,11,5.5,0.319,0.377,0.356,0.733,0.326,0.299,29.5,3.3,32.8,97.748776129,93.009237869,19.7,47.9,81.8,,27.5
"Barrera, Luis",642456,2022,26,77,85,18,12,5,0,1,17,6,20,7.1,0.234,0.338,0.294,0.632,0.28,0.257,32.8,3.3,32.8,96.470882,92.307228136,19.6,48.4,,2,28.5
"Zimmer, Bradley",605548,2022,29,105,117,13,6,5,0,2,45,5,38.5,4.3,0.124,0.229,0.207,0.436,0.203,0.225,21.3,11.5,34.4,99.040262143,93.699233818,37.4,51.7,,4,29.3
"Mazeika, Patrick",664850,2022,28,68,72,13,8,4,0,1,9,2,12.5,2.8,0.191,0.294,0.214,0.508,0.222,0.218,29.5,3.3,18,93.467468276,90.797627414,14.9,49.6,76.4,,24.3
"Stowers, Kyle",669065,2022,24,91,98,23,15,4,1,3,29,5,29.6,5.1,0.253,0.418,0.306,0.724,0.316,0.337,38.7,11.3,50,102.094287742,95.636152581,32.8,55.4,,-2,27
"Moniak, Mickey",666160,2022,24,106,112,18,11,3,1,3,44,4,39.3,3.6,0.17,0.302,0.207,0.509,0.223,0.206,22.2,7.9,31.7,98.719537419,93.466598689,37.9,58.3,,1,28.2
"Fairchild, Stuart",656413,2022,26,97,110,24,14,4,1,5,34,8,30.9,7.3,0.247,0.464,0.336,0.8,0.35,0.317,31.7,9.5,41.3,99.364164194,93.906276721,35.8,48.2,,2,29.1
"Solak, Nick",669256,2022,27,82,95,17,13,1,0,3,19,7,20,7.4,0.207,0.329,0.309,0.638,0.291,0.335,28.1,7.8,34.4,98.943208065,93.471604032,23.8,42.3,,-1,28.6
"White, Eli",642201,2022,28,105,117,21,16,2,0,3,41,11,35,9.4,0.2,0.305,0.274,0.579,0.26,0.255,30.8,4.6,29.2,97.840377143,92.922132679,39.6,46.6,,5,30
"Heim, Jonah",641680,2022,27,406,450,92,55,20,1,16,87,41,19.3,9.1,0.227,0.399,0.298,0.697,0.306,0.291,29.6,6.9,39.9,99.379567107,93.916796887,21.4,50.8,83.7,,26
"Sierra, Magneuris",642423,2022,26,91,96,15,11,1,3,0,25,4,26,4.2,0.165,0.242,0.2,0.442,0.195,0.212,22.4,0,16.4,94.478225,91.413321017,24.2,54.9,,3,29.5
"Freeman, Tyler",671289,2022,23,77,86,19,16,3,0,0,11,4,12.8,4.7,0.247,0.286,0.314,0.6,0.274,0.27,28.4,1.5,26.9,96.960101818,92.566031846,18.5,50.7,,,28.1
"Papierski, Michael",657709,2022,26,91,103,13,11,1,0,1,26,10,25.2,9.7,0.143,0.187,0.228,0.415,0.197,0.217,28.4,0,9,88.340397273,89.381348308,19.1,43.5,78.1,,24.7
"Gonzalez, Romy",663853,2022,25,105,109,25,18,4,1,2,39,2,35.8,1.8,0.238,0.352,0.257,0.609,0.264,0.265,29.9,9,49.3,102.563254242,95.828662308,37.9,53.7,,,28.6
"Candelario, Jeimer",600869,2022,28,429,467,93,59,19,2,13,109,28,23.3,6,0.217,0.361,0.272,0.633,0.277,0.292,37,8.3,34.6,98.352499379,93.27808162,25.4,52.6,,,27.3
"Kepler, Max",596146,2022,29,388,446,88,60,18,1,9,66,49,14.8,11,0.227,0.348,0.318,0.666,0.298,0.338,31.9,7.1,39.9,100.09058546,94.217393221,19.9,46.1,,11,27.8
"Trammell, Taylor",666211,2022,24,102,117,20,7,9,0,4,33,13,28.2,11.1,0.196,0.402,0.284,0.686,0.3,0.292,29.6,9.9,28.2,97.776181429,92.975271014,33.7,47.7,,1,26.8
"Bote, David",623520,2022,29,116,127,30,18,8,0,4,45,6,35.4,4.7,0.259,0.431,0.315,0.746,0.325,0.287,34.7,6.9,55.6,102.8376175,96.457184366,33.5,44.7,,,26.6
"Vavra, Terrin",679631,2022,25,89,103,23,19,2,1,1,19,12,18.4,11.7,0.258,0.337,0.34,0.677,0.303,0.321,37.5,1.4,23.6,96.135936571,92.201115217,23.2,49.6,,,27.3
"Carroll, Corbin",682998,2022,21,104,115,27,12,9,2,4,31,8,27,7,0.26,0.5,0.33,0.83,0.358,0.293,34.2,5.5,32.9,97.229943784,92.678458904,28.8,44.8,,5,30.7
"Muncy, Max",571970,2022,31,464,565,91,47,22,1,21,141,90,25,15.9,0.196,0.384,0.329,0.713,0.318,0.339,34.3,13.4,45.6,100.488456196,94.680756043,26.1,38.6,,,27.2
"Canó, Robinson",429664,2022,39,100,104,15,13,1,0,1,25,4,24,3.8,0.15,0.19,0.183,0.373,0.169,0.237,29.3,4,41.3,100.261988108,94.247323243,24.9,56.8,,,24.4
"Bolt, Skye",621450,2022,28,106,116,21,15,2,0,4,30,7,25.9,6,0.198,0.33,0.259,0.589,0.261,0.261,29.9,5.2,35.1,98.380471053,93.373823467,28.5,47.2,,2,27.8
"Stubbs, Garrett",596117,2022,29,106,121,28,18,4,1,5,30,14,24.8,11.6,0.264,0.462,0.35,0.812,0.355,0.275,33.8,5.2,27.3,96.098752571,92.112040145,21.2,39.2,83.5,,27.3
"Huff, Sam",669087,2022,24,121,132,29,21,4,0,4,42,11,31.8,8.3,0.24,0.372,0.303,0.675,0.296,0.294,35.4,10.1,36.7,99.99883625,94.152076329,39,53.3,88.1,,27
"Allen, Greg",656185,2022,29,118,134,22,16,4,0,2,42,10,31.3,7.5,0.186,0.271,0.26,0.531,0.242,0.229,25,2.5,32.5,97.13406027,92.677602568,30.2,46.1,,2,28.3
"Melendez Jr., MJ",669004,2022,23,460,534,100,58,21,3,18,131,66,24.5,12.4,0.217,0.393,0.313,0.706,0.31,0.332,31,10.4,43.5,100.595888323,94.716383713,27.8,44.6,83,-2,27.8
"Donaldson, Josh",518626,2022,36,478,546,106,63,28,0,15,148,54,27.1,9.9,0.222,0.374,0.308,0.682,0.302,0.299,34.8,9.8,43.3,100.977600417,94.867949761,33.2,47.3,,,25.7
"Moran, Colin",592567,2022,29,109,128,23,15,3,0,5,30,16,23.4,12.5,0.211,0.376,0.305,0.681,0.3,0.318,30.5,8.5,39,99.499238293,94.098082593,27.7,49.8,,,24.2
"Perez, Salvador",521692,2022,32,445,473,113,66,23,1,23,109,18,23,3.8,0.254,0.465,0.292,0.757,0.324,0.323,34.8,11.2,49,101.468749294,95.293979056,31.8,57.4,82.9,,25.3
"Stott, Bryson",681082,2022,24,427,466,100,69,19,2,10,89,36,19.1,7.7,0.234,0.358,0.295,0.653,0.289,0.284,29.4,4.4,36.8,97.97018994,93.096499761,17.2,45,,,29
"Carlson, Dylan",666185,2022,23,432,488,102,60,30,4,8,94,45,19.3,9.2,0.236,0.38,0.316,0.696,0.306,0.301,35.7,4.4,27.2,96.293953036,92.150882262,25.6,46.2,,3,28.1
"Perdomo, Geraldo",672695,2022,22,431,500,84,67,10,2,5,103,50,20.6,10,0.195,0.262,0.285,0.547,0.253,0.269,28.1,2,25.1,95.305189236,91.661910605,18.3,41.3,,,27.3
"Culberson, Charlie",518586,2022,33,115,124,29,21,6,0,2,31,5,25,4,0.252,0.357,0.283,0.64,0.281,0.251,28.4,1.1,27.3,95.647602143,91.889355952,30.5,59,,,27.8
